reach_id,start_node,end_node,width,bed,length,dx,chezy
1,1,2,20.0,0,1400.0,100,44.29
2,3,4,105.0,0,1500.0,100,66.43
3,5,6,105.0,0,1500.0,100,44.29
4,22,21,29.1107121059203,0,1144.11363250097,100,44.29
5,22,10,18.0440255328161,0,237.726258181466,20,44.29
6,23,9,13.464362320509,0,294.818684374548,20,44.29
7,24,8,12.4151326909002,0,410.276483993012,20,44.29
8,11,25,11.7404853520851,0,311.815136282707,20,44.29
9,26,23,20.1105542969971,0,77.907974913593,20,44.29
10,12,26,11.6915036189646,0,132.371749594407,20,44.29
11,30,27,14.4764000792892,0,1589.42714541322,100,44.29
12,30,29,16.1296974382589,0,2391.16981332401,100,44.29
13,33,32,35.357609775326,0,612.22209944184,50,44.29
14,35,33,36.2211387421186,0,930.244792017617,100,44.29
15,35,34,27.9352288918608,0,770.73814697486,50,44.29
16,37,14,22.0633858110953,0,460.40964710483,50,44.29
17,41,35,30.1427613198427,0,836.546197697275,100,44.29
18,42,36,22.3213267878274,0,688.881551647117,50,44.29
19,44,38,22.3046833138864,0,577.612286469096,50,44.29
20,41,40,17.589123664976,0,823.068996229404,100,44.29
21,15,54,48.1672809633775,0,674.46129686981,50,44.29
22,46,41,25.2770700023956,0,1735.61314013296,100,44.29
23,16,42,20.8484496496051,0,616.107676695486,50,44.29
24,49,17,14.5339557611459,0,666.108782752735,50,44.29
25,49,43,22.831000249969,0,758.159996512317,50,44.29
26,50,18,19.2404428375213,0,1195.09958776209,100,44.29
27,53,20,16.2849610306767,0,1555.08360647286,100,44.29
28,47,46,30.7165958487556,0,1197.28553064556,100,44.29
29,47,19,16.8145837852551,0,564.900874663555,50,44.29
30,51,47,27.566747901298,0,1132.15687705068,100,44.29
31,52,48,15.6102276827302,0,1180.49968372852,100,44.29
32,21,5,134.051978000638,0,2012.9792347259,100,66.43
33,29,21,116.191264493265,0,1443.24217853241,100,66.43
34,32,29,116.56913508798,0,168.159032290709,20,66.43
35,34,32,112.478972971674,0,953.349319938336,100,66.43
36,40,34,109.343531409618,0,795.031758072228,50,66.43
37,54,40,108.575702352158,0,477.297285433065,50,66.43
38,4,54,106.063643299306,0,1264.80242491066,100,66.43
39,46,4,37.8770346078139,0,943.838974806189,100,44.29
40,51,46,32.0600499705349,0,2395.32246254639,100,44.29
41,52,51,29.9335530459601,0,1320.84785769232,100,44.29
42,53,52,25.8547481918523,0,523.391852877243,50,44.29
43,2,53,27.0342658993533,0,875.691222740383,100,44.29
44,2,50,23.191056037005,0,1491.02515789318,100,44.29
45,50,45,32.2742400147697,0,283.538540685981,20,44.29
46,45,39,24.9334896160294,0,506.364337393559,50,44.29
47,39,31,29.5646350162709,0,1715.88844471958,100,44.29
48,31,28,29.4256246539686,0,1332.04713709299,100,44.29
49,28,5,31.7571733909774,0,2121.75102159926,100,44.29
50,23,22,28.8617765951203,0,130.761901371917,20,44.29
51,24,23,18.9219381222024,0,292.449168759652,20,44.29
52,25,24,15.4271771041138,0,294.377395302162,20,44.29
53,25,7,13.6782669595848,0,158.849580901074,20,44.29
54,27,26,16.4580241276081,0,692.076631871033,50,44.29
55,28,27,19.1095630672694,0,665.530252044524,50,44.29
56,31,30,10.0187063601062,0,651.92332399776,50,44.29
57,13,33,29.9182964340992,0,2589.02326290956,100,44.29
58,36,35,27.1427416502577,0,833.833869643051,50,44.29
59,37,36,24.4231662617253,0,217.489558756788,20,44.29
60,38,37,22.9489339509173,0,582.976152042451,50,44.29
61,39,38,33.9866387782826,0,1325.18695746738,100,44.29
62,42,41,18.4439066961323,0,974.744533211504,100,44.29
63,43,42,24.4647409970217,0,882.048332573669,50,44.29
64,44,43,11.9231943684351,0,139.271663811363,20,44.29
65,45,44,11.5610992252585,0,1222.82474024706,100,44.29
66,48,49,22.1547801467463,0,726.491695850405,50,44.29
67,48,47,17.4239416936945,0,1070.79857843655,100,44.29
